"GroupId","PersonalId","HomePlanet","CryoSleep","Deck","Num","Side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","FirstName","LastName","Transported","Expenditure","DeckNum","IsSoloTraveler","people_in_group","IsSoloChild","TransportedChildWithGroup","child"
1,1,"0",FALSE,"B",0,"0","TRAPPIST-1e",39,FALSE,6.01475552607302e-08,8.62396903835519e-08,3.53568075909774e-08,3.68676572913543e-08,5.14568402762204e-08,"Maham","Ofracculy",0,-15.1245900183108,"2","1",1,"0","0","0"
3,2,"0",FALSE,"A",0,"1","TRAPPIST-1e",33,FALSE,8.15533681157342e-08,1283.00000011071,371.000000019185,3329.00000005388,193.000000056254,"Solam","Susent",0,8.55178783624286,"1","1",1,"0","0","0"
4,1,"1",FALSE,"F",1,"1","TRAPPIST-1e",16,FALSE,303.0000000833,70.0000000652302,151.000000022456,565.000000009551,2.00000000943403,"Willy","Santantines",1,6.9948499860072,"6","1",1,"1","0","0"
5,1,"1",FALSE,"F",0,"0","PSO J318.5-22",44,FALSE,5.85067538459778e-08,483.000000119549,1.25598385388387e-07,291.000000210143,1.07633884112419e-07,"Sandie","Hinetthews",1,6.65157187439261,"6","1",1,"0","0","0"
6,2,"1",TRUE,"G",0,"1","TRAPPIST-1e",28,FALSE,4.93899696262854e-08,2.08681600941946e-07,1.57710090109946e-07,1.62312716761853e-07,1.37329894272423e-09,"Candra","Jacostaffey",1,-14.3611559541817,"7","1",1,"0","0","0"
8,1,"0",TRUE,"B",1,"0","55 Cancri e",14,FALSE,5.36938497222232e-08,4.96710507744443e-08,1.17463299145469e-07,3.97695055725166e-08,9.25359714166286e-08,"Erraiam","Flatic",1,-14.8564191643563,"2","0",3,"0","0","0"
8,2,"0",TRUE,"B",1,"0","TRAPPIST-1e",34,FALSE,1.45879979138145e-07,2.54831401723539e-08,294.500000192047,7.56796248192618e-08,1.94046724398e-08,"Altardr","Flatic",1,5.6852790046485,"2","0",3,"0","0","0"
8,3,"0",FALSE,"B",1,"0","55 Cancri e",45,FALSE,39.0000000413337,7295.00000001128,589.000000088502,110.000000121738,124.000000079201,"Wezena","Flatic",1,9.00663173334251,"2","0",3,"0","0","0"
9,1,"1",FALSE,"F",1,"0","TRAPPIST-1e",32,FALSE,73.0000001337486,6.38769371786023e-08,1123.00000013651,3.38599863409596e-08,113.000000191723,"Berers","Barne",1,7.17701876633749,"6","1",1,"0","0","0"
10,1,"1",FALSE,"G",1,"1","TRAPPIST-1e",48,FALSE,719.000000116483,1.00000001455811,65.0000000290981,2.343787998611e-08,24.0000001503533,"Reney","Baketton",0,6.69579891747126,"7","1",1,"0","0","0"
11,1,"1",FALSE,"F",2,"0","TRAPPIST-1e",28,FALSE,8.00000018572435,974.00000005064,12.0000000055663,2.00000008168995,7.00000008017695,"Elle","Bertsontry",1,6.91075078836452,"6","1",1,"0","0","0"
12,1,"1",FALSE,"F",148.371624119368,"1","TRAPPIST-1e",31,FALSE,32.0000000272974,9.31985839007004e-08,876.00000011462,2.56381820056944e-08,9.75267872942714e-08,"Justie","Pooles",0,6.81124437899588,"6","1",1,"0","0","0"
14,1,"1",FALSE,"F",3,"0","55 Cancri e",27,FALSE,1286.00000001697,122.000000056138,236.020868770187,2.2872722789663e-08,1.55832431217909e-08,"Flats","Eccle",0,7.40490026950256,"6","1",1,"0","0","0"
15,1,"1",FALSE,"F",4,"0","55 Cancri e",24,FALSE,6.2196875487862e-08,1.00000005533122,5.02986554738957e-08,2.03069981766509e-07,637.000000105166,"Carry","Hughriend",0,6.45833828409097,"6","1",1,"0","0","0"
16,1,"1",TRUE,"F",5,"0","TRAPPIST-1e",45,FALSE,1.38661371804184e-07,4.30426939521641e-09,9.2785230287493e-08,1.7161795583872e-07,3.13671844901112e-07,"Alus","Upead",1,-14.1425702903971,"6","1",1,"0","0","0"
17,1,"1",FALSE,"G",0,"0","TRAPPIST-1e",0,FALSE,2.73598170365223e-07,2.72095124824422e-08,1.62149762198405e-07,9.00556384111646e-08,1.12186899885371e-07,"Lyde","Brighttt",1,-14.2231781146688,"7","1",1,"1","0","0"
20,1,"1",TRUE,"E",0,"1","TRAPPIST-1e",1,FALSE,6.21294776781875e-08,8.64256441188242e-08,1.00762927587658e-08,9.72895218906451e-08,1.04311753334507e-07,"Almary","Brantuarez",0,-14.8365156537947,"5","0",5,"0","0","0"
20,2,"1",TRUE,"E",0,"1","55 Cancri e",49,FALSE,4.05965644421262e-08,2.32032659024291e-07,2.44561813192392e-08,1.72663359450566e-07,1.40740738099013e-07,"Glendy","Brantuarez",0,-14.3090047387356,"5","0",5,"0","0","0"
20,3,"1",TRUE,"E",0,"1","55 Cancri e",29,FALSE,3.14252383551827e-09,1.22054706109405e-07,1.80755777991641e-07,2.46487216184806e-09,3.22356404600158e-08,"Mollen","Mcfaddennon",0,-14.8923999449543,"5","0",5,"0","0","0"
20,4,"1",FALSE,"E",0,"1","TRAPPIST-1e",10,FALSE,3.1948630887004e-08,1.08004969535168e-07,4.84824248950307e-08,2.35090484940137e-07,3.19581716015516e-08,"Breney","Jacostanley",1,-14.6019037501008,"5","0",5,"0","0","0"
20,5,"1",TRUE,"E",0,"1","PSO J318.5-22",1,FALSE,9.67809457737931e-09,1.55310670509233e-07,4.32592493763624e-08,5.42343540543117e-08,9.08422130697383e-08,"Mael","Brantuarez",0,-14.8558787079085,"5","0",5,"0","0","0"
22,1,"1",FALSE,"D",0,"0","TRAPPIST-1e",21,FALSE,980.000000004146,2.00000019895378,69.0000000664282,1.00763158836594e-07,3.49253764154954e-08,"NONE","NONE",0,6.9574973712625,"4","1",1,"0","0","0"
24,1,"0",TRUE,"C",2,"1","TRAPPIST-1e",62,FALSE,8.51338517805656e-08,2.35712000294839e-08,46.18154561691,2.21815847268754e-08,1.4220214797089e-07,"Penton","Fullided",1,3.83258027868003,"3","1",1,"0","0","0"
25,1,"1",FALSE,"F",6,"1","TRAPPIST-1e",15,FALSE,8.82496919637618e-08,225.000000098763,9.88555542856523e-08,998.000000011094,1.99390905390522e-09,"Karard","Brookenson",0,7.10906213593162,"6","1",1,"1","0","0"
26,1,"0",FALSE,"C",0,"0","55 Cancri e",34,FALSE,22.0000000275652,6073.00000010388,1.77879700333475e-07,1438.00000018673,328.000000042602,"Anyoni","Unconary",0,8.96966910386228,"3","1",1,"0","0","0"
28,1,"1",FALSE,"F",8,"0","TRAPPIST-1e",43,FALSE,1125.00000023682,3.68052606629599e-09,136.000000157873,48.0000001036648,2.8521828809608e-08,"Ceros","Mare",0,7.17701876631522,"6","1",1,"0","0","0"
30,1,"1",FALSE,"G",4,"1","TRAPPIST-1e",32,FALSE,5.52609633297494e-09,850.000000091889,81.0000000246842,437.000000159809,453.000000000513,"Ginia","Morsentley",0,7.5071410798827,"7","1",1,"0","0","0"
31,1,"1",FALSE,"F",9,"0","TRAPPIST-1e",47,FALSE,214.00000011031,5.68431177315452e-08,1411.00000011305,9.21899958134518e-09,1229.00000003177,"Coobix","Datie",1,7.95647679814932,"6","0",2,"0","0","0"
31,3,"1",FALSE,"F",9,"0","TRAPPIST-1e",20,FALSE,214.000000158807,5.96275276903894e-08,1750.00000006059,990.000000030725,3.36808599613885e-08,"Dontch","Datie",1,7.99091546320759,"6","0",2,"0","0","0"
34,1,"0",TRUE,"D",1,"1","55 Cancri e",28,FALSE,9.56338268770331e-08,2.83880118376518e-08,3.38699808464612e-08,3.07548551629638e-08,1.53287929604916e-07,"Ziba","Oingwhedly",1,-14.88864633358,"4","1",1,"0","0","0"
35,1,"1",FALSE,"D",1,"0","55 Cancri e",23,FALSE,784.000000170162,964.000000021405,1.00097058653144e-07,951.000000006211,9.68487756011694e-08,"Luse","Butte",0,7.90063661316425,"4","1",1,"0","0","0"
38,1,"1",FALSE,"F",10,"1","55 Cancri e",20,FALSE,554.000000068291,195.000000031658,1.06203305674838e-07,2606.00000000501,4.59974943788296e-08,"Loise","Wheelez",0,8.11820704948243,"6","1",1,"0","0","0"
39,1,"1",TRUE,"G",1,"0","55 Cancri e",30,FALSE,5.25399991529918e-10,7.5956239560701e-08,1.11847820716697e-07,1.7983240999418e-08,1.57992443076219e-07,"Jorgie","Batthewitt",0,-14.8252740118552,"7","1",1,"0","0","0"
41,1,"1",TRUE,"G",2,"0","TRAPPIST-1e",17,FALSE,8.75070042432404e-09,5.57050437058625e-10,7.65796035227158e-08,9.0160688372e-08,1.04089665813184e-08,"Margia","Moodsey",1,-15.4950651373708,"7","1",1,"1","0","0"
43,1,"0",FALSE,"B",3,"0","TRAPPIST-1e",45,FALSE,8.19541789525341e-09,164.000000157048,45.0000000636645,2511.00000005342,855.000000084542,"Ankalik","Cylistrand",0,8.18172045523073,"2","1",1,"0","0","0"
44,3,"1",TRUE,"G",3,"0","PSO J318.5-22",21,FALSE,2.39366805669699e-08,1.59669975917185e-07,5.25168050937216e-08,3.42320904423663e-08,7.49506056757426e-08,"Cassa","Coopelandez",1,-14.8788343998222,"7","1",1,"0","0","0"
45,2,"1",TRUE,"F",10,"0","TRAPPIST-1e",19,FALSE,1.41050260318625e-07,1.85865232314165e-07,1.05062739868025e-08,1.3781305499016e-08,1.08681862164778e-07,"Mass","Chmad",1,-14.5922895216164,"6","1",1,"0","0","0"
50,1,"1",FALSE,"E",1,"1","55 Cancri e",35,FALSE,790.000000179113,3.80385315975903e-08,1.04492455530506e-07,6.06872214947608e-08,2.74502086284306e-07,"Sony","Lancis",0,6.6720329462925,"5","1",1,"0","0","0"
51,1,"1",FALSE,"E",2,"1","TRAPPIST-1e",56,FALSE,1.33128047421819e-07,112.000000124897,4.32838282761577e-08,1379.00000001257,127.000000076447,"Vivia","Johnshines",0,7.38894609785968,"5","1",1,"0","0","1"
52,1,"1",FALSE,"G",6,"1","TRAPPIST-1e",33.9319443085005,FALSE,4.00000006359691,1.49823111663457e-07,2.0000001760139,4683.00000001105,3.51959695485159e-08,"Elaney","Hubbarton",0,8.4529746191825,"7","1",1,"0","0","0"
53,1,"1",FALSE,"F",11,"1","TRAPPIST-1e",25,FALSE,4.91786216671888e-08,5.40235265948612e-08,1938.00000003343,9.22858711471681e-08,1.00000016792126,"Elson","Hickerson",1,7.56992765544731,"6","1",1,"0","0","0"
56,1,"0",FALSE,"A",1,"1","TRAPPIST-1e",2,FALSE,7.03191253249377e-08,4.27960496674593e-08,7.44466346563336e-08,1.29884154530907e-07,1.71422506897526e-08,"Okulas","Tractive",1,-14.9103652705639,"1","0",2,"0","1","0"
56,3,"0",FALSE,"A",1,"1","TRAPPIST-1e",27,FALSE,279.000000048293,605.000000008478,3374.00000010801,286.000000134099,3.00000001862623,"Zinoces","Tractive",1,8.42222295389484,"1","0",2,"0","1","0"
58,1,"1",TRUE,"G",7,"1","PSO J318.5-22",36,FALSE,1.46009034774401e-09,1.32272662799163e-07,1.94135843589415e-07,1.64270011142515e-08,3.68851687767256e-08,"Warry","Ayalazquez",0,-14.779992121247,"7","1",1,"0","0","0"
